IncidentDate,OccurredFromTime,IncidentNum,Offense,NIBRS,NIBRSCategory,SRS_UCR,CrimeAgainst,FelMisdCit,IncidentTopSRS_UCR,IncidentLocation,IntersectionOtherLoc,District,Neighborhood,NbhdNum,Latitude,Longitude,IncidentSupplemented,LastSuppDate,VictimNum,FirearmUsed,IncidentNature
3/15/2021 0:00,9:00:00,21011289,STEALING - FIREARM/EXPLOSIVE WEAPON/AMMONIUM NITRATE,23F,Theft From Motor Vehicle,6,Property,F,6,2615 WASHINGTON AVE,,4,Midtown,37,38.635488,-90.214003,Yes,12/4/2025 15:29,,No,Stolen Property - Criminal
4/17/2021 0:00,18:00:00,21016790,STEALING - FIREARM/EXPLOSIVE WEAPON/AMMONIUM NITRATE,23D,Theft From Building,6,Property,F,6,2919 SAMUEL SHEPARD DR,,4,Midtown,37,38.637349,-90.21968,Yes,12/8/2025 12:05,,No,Larceny - Criminal
4/27/2021 0:00,9:43:00,21017069,MURDER 2ND DEGREE,09A,Murder and Nonnegligent Manslaughter,1,Person,F,1,1416 CHOUTEAU AVE,,4,Downtown West,36,38.617799,-90.206483,Yes,12/23/2025 0:05,594280,Yes,Homicide - Criminal
4/27/2021 0:00,9:43:00,21017069,ARMED CRIMINAL ACTION,90Z,All Other Offenses,,Unspecified,F,1,1416 CHOUTEAU AVE,,4,Downtown West,36,38.617799,-90.206483,Yes,12/23/2025 0:05,,No,Homicide - Criminal
6/1/2021 0:00,14:50:00,21023052,MURDER 1ST DEGREE,09A,Murder and Nonnegligent Manslaughter,1,Person,F,1,N 22ND ST,UNIVERSITY ST,4,St Louis Place,60,38.636735,-90.209955,Yes,12/18/2025 12:05,593043,Yes,Homicide - Criminal
6/1/2021 0:00,14:50:00,21023052,ROBBERY - 1ST DEGREE,120,Robbery,3,Property,F,1,N 22ND ST,UNIVERSITY ST,4,St Louis Place,60,38.636735,-90.209955,Yes,12/18/2025 12:05,,Yes,Homicide - Criminal
6/1/2021 0:00,14:50:00,21023052,ARMED CRIMINAL ACTION,90Z,All Other Offenses,,Unspecified,F,1,N 22ND ST,UNIVERSITY ST,4,St Louis Place,60,38.636735,-90.209955,Yes,12/18/2025 12:05,,No,Homicide - Criminal
7/2/2021 0:00,19:00:00,21028402,STEALING - FIREARM/EXPLOSIVE WEAPON/AMMONIUM NITRATE,23F,Theft From Motor Vehicle,6,Property,F,6,5976 COTE BRILLIANTE AVE,,5,Wells Goodfellow,50,38.67625,-90.28397,Yes,12/9/2025 14:04,,No,Weapon Law Violation - Criminal
7/2/2021 0:00,19:00:00,21028402,DELIVERY OF CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS OF MARIJUANA OR SYNTHETIC CANNABINOID,35A,Drug/Narcotic Violations,,Society,F,6,5976 COTE BRILLIANTE AVE,,5,Wells Goodfellow,50,38.67625,-90.28397,Yes,12/9/2025 14:04,,No,Weapon Law Violation - Criminal
7/2/2021 0:00,19:00:00,21028402,POSSESSION OF CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS OF MARIJUANA/SYNTHETIC CANNABINOID,35A,Drug/Narcotic Violations,,Society,F,6,5976 COTE BRILLIANTE AVE,,5,Wells Goodfellow,50,38.67625,-90.28397,Yes,12/9/2025 14:04,,No,Weapon Law Violation - Criminal
